name,Job Role,CTC,Stipend,Eligible Batch,Eligible Courses,Eligible Branches,Internship Duration,Location,Application Link
Flipkart,,,,,,,,,
Cynlr,,,,,,,,,
Headout,,,,,,,,,
Celebal Technologies,* Software Engineer | Job Profile:* Data Science/Data Engineering,* 15 LPA / 7 LPA(based on performance),* 30 KPM / 14 KPM,* 2026,"* BTech, MTech, Dual",* All,,,"* https://forms.gle/aXyD3GNvxkdhBBhN6 | Deadline :* 26th August, 2025, 11:59 PM | Note :* | Keep in mind the short deadline."
CynLr,,,,,,,,,
FischerJordan,,,,,,,,,
MOVIN,,,,,,,,,
Meesho,,,,,,,,,"* https://jobs.lever.co/meesho/dc699d1d-a1f5-442d-905e-8c9a0bb5df50 | Deadline:* 11:59 AM, 27th August 2025 | Form submission is mandatory; failure to do so within the deadline will lead to cancellation of candidature."
QuickSell,,,"* 30KPM | Internship Mode:* Remote(WFH) | After PPO Mode:* Work from Office | Application:* https://forms.gle/yVxmJPJhBENZKSDe8 | Deadline:* 11:59 PM, 27th August 2025 | 1. Keep the short deadline in mind | 2. Prepare your resume according to JD",* 2026,* All,* All,,,
Forma.ai,* Customer Operations Analyst Intern,,* 40KPM | CTC on PPO Conversion:* 15LPA,* 2026,* B.Tech.,* All | Eligibility Criteria:* | 10th & 12th : 80% & above | CGPA>=8,,,"* https://forms.gle/zTjvGpcHKaRnetmn8 | Deadline:* 11:59 PM, 27th August, 2025 | Note:*"
Headout,,,,,,,,,
Meesho,,,,,,,,,
Meesho,,,,,,,,,
Axxela,,,,,"* BTech, Dual, Int Msc",* All | Note:*,,,
MEESHO,,,,,,,,,
Meesho,,,,,,,,,
FischerJordan,,,,,,,,,
Meesho,,,,,,,,,
Flipkart,,,,,,,,,
Juspay,,,,,,,,,
Meesho,,,,,,,,,
Meesho,,,,,,,,,
Forma.ai,,,,,,,,,
Pkeday Investments,* Tech X Investment Intern,,* 1.5 LPM | CTC on PPO Conversion:* 15-20 LPA,* 2026,"* B.Tech, Dual, M.Tech, Int. MSc.",* All,,,"* https://forms.gle/M3JXoodC34tJ9pRk7 | Deadline:* 10:00 AM, 30th August, 2025 | Note:*"
Flipkart,,,,,,,,,
RNT Health Insights,1. Software Engineer | 2. Computer Vision Engineer | Job Location:* Chandigarh,1. SWE: 18LPA | 2. CVE: | B.Tech: 20LPA | Dual: 22LPA,* 30KPM,* 2026,"* B.Tech, Dual, Int MSc.",* All | Eligibility Criteria:* | CGPA>=6,,,"* https://forms.gle/acBFXSU2rgCqGivA9 | Deadline:* 11:59 PM, 30th August, 2025 | Note:*"
Juspay,,,,,,,,,
Uber,,,,,,,,,
Flipkart,,,,,,,,,
Meesho,,,,,,,,,
Quicksell,,,,,,,,,
Flipkart,,,,,,,,,
JSW Group,,INR 8 LPA + 1.5 L Retention Bonus | INR 8.5 LPA after 1 year,,* 2026,"* Btech, Dual, MSc","* CE, CH, CR, ME, MM, MN, EI, AG | Eligibility Criteria:* | 60% or equivalent or above in 10th, 12th and Btech/MSc | Age Criteria <= 24 years as on 1st April 2026 | Job Location:* PAN India | Registration Link:* https://nitrkl.pod.ai/d/yzL10C/placement-registrations/rZlQbJHkxYmYjRsWN-AdbI6I5eyzB_nKt_pcDJpekydgRfZKXLNF8ZoR7b8jgeXbFcXgaqMjPM-l4tBERD0dHw/fccb2dbe8206276f48a715df4e1c6b58a74562bc/",,,"* https://forms.gle/xRcPLNt8XbU9Um478 | Deadline:* 2nd Sept, 2025, 11:59 PM | Note:*"
Flipkart,,,,,,,,,
JSW Group,,,,,,,,,
Axxela,,,,,,,,,
Celebal Technologies,,,,,,,,,
Flipkart,,,,,,,,,
Axxela,,,,,,,,,
JSW Group,,,,,,,,,
NK Securities Research,* Full Stack Developer Intern,,* 2.5 LPM | CTC on PPO conversion:* ND,* 2026,"* BTech, Dual Degree, Int. Msc",* All | Eligibility Criteria:* | CGPA >= 7 | ⁠No active backlogs. | Selection Procedure:* | Resume Shortlisting | ⁠Online Assessment | ⁠Personal Interviews | Job Location:* Gurugram,,,"* https://forms.gle/GRyKGq5SG31mvsVu7 | Deadline:* 3:00 PM, 2nd September, 2025 | Note:* | ⁠_Curate your CVs according to the Job Role & Job Description._"
Axxela,,,,,,,,,
JSW Group,,,,,,,,,
Celebal Technologies,,,,,,,,,
Airamatrix,,* 22 LPA ( 19 Base + 3L JB ),,* 2026,"* Btech , Mtech , Int msc , dual",* All | Eligibility:* | CGPA>=6.5 | No Active backlogs | Selection process:* | 1.Resume Shortlisting | 2.Pre-placement talk | 3.Interviews,,,"* https://forms.gle/mBF3BT1kD9Z6htH19 | Deadline:* 7 PM, 3rd Sept , 2025 | Note:* | Resume shortlisting will be strictly based on the Job description attached."
Flipkart,,,,,,,,,
Celebal Technologies,,,,,,,,,
NK Securities Research,,,,,,,,,"* https://forms.gle/GRyKGq5SG31mvsVu7 | Deadline:* 11:59 PM, 2nd Sept, 2025 | Note:*"
ZS Associates,,* 14.156 LPA,,"* 2026 | Eligibility Criteria:* | 10th & 12th marks >= 70%, CGPA>=7 | Students with active backlogs can appear for the ZS process, provided their current aggregate CGPA is greater than 7. If they happen to secure an employment offer with ZS, they are expected to clear the backlog prior to joining the firm. | Students who are not citizens of India by birth are NOT allowed to be part of the process even if they possess work authorization for India. | Registration form:* | 1. For DAA Role :- https://app.joinsuperset.com/join/#/signup/student?jp=c263a07b-eb11-4cb3-9395-d1af85af9097 | 2. For BTSA Role :-https://app.joinsuperset.com/join/#/signup/student?jp=bc6da9eb-04e3-451a-b979-523714d2bde5",* B.Tech,"All (For Decision Analytics Associate) | CS, EC, EI, EE (For Business Technology Solutions Associate)",,,"* https://forms.gle/MkFHiLa2Nu4npShi6 | Deadline:* 11:59 AM, 3rd September 2025 | Note:*"
ZS Associates,,,,,,,,,
Namekart,,,,,"* BTech, Dual , Int MSc.",* All | Note:*,,,
Jindal Steel & Power Ltd. (JSPL),,,,,,,,,
Mercedes-Benz India,,GET: 10 LPA | GAT: 7 LPA (GET after 1 year probation period),,* 2026,"* B.Tech, Dual","* CS, EC, EI, EE, ME, CH, MM, CR",,,"* https://forms.gle/wpMEQ3mJ83Yudpjq8 | Selection Procedure:* | Pre-placement Talk | Resume Shortlisting | Online Test (Aptitude & Technical) | Personal Interview | Deadline:* 6:00 PM, 4th September, 2025"
Mercedes-Benz India,,,,,,,,,
Celebal Technologies,,,,,,,,,
Celebal Technologies,,,,,,,,,
Celebal,,,,,,,,,
Novartis,* Associate Analyst,"* 10,34,901 + 1,89,371	 - Joining Bonus",* 40 KPM,* 2026,"* BTech, Dual, Int. Msc",* All | Eligibility Criteria:* | CGPA >= 6,,,"* https://forms.gle/dNpvh9N5Qv4ST5GZ8 | Deadline :* 5:00 PM, 5th September, 2025 | Note :*"
ZS,,,,,,,,,
Celebal Technologies,,,,,,,,,
Celebal Technologies,,,,,,,,,
L&T Finance,* AI/ML & GenAI Intern,,"1. B.Tech - 25 KPM | 2. Dual, Int. Msc - 20 KPM | CTC on PPO conversion:* 8-10 LPA",* 2026,"* BTech, Dual, Int. Msc",* All,,,"* https://forms.gle/x4zXDq64CBRZ7AEQA | Deadline:* 5:00 PM, 5th September, 2025 | Note:* | ⁠_Curate your CVs according to the Job Role & Job Description._"
Celebal Technologies,,,,,,,,,
Zluri,,,,,,,,,
AlgoUniversity,,,,,,,,,
MOVIN,,,,,,,,,
SiMa.ai,1. AI/ML Intern | 2. Embedded Systems Intern,,BTech - 50 KPM | MTech - 60 KPM | CTC on conversion:* ND,* 2026,"* BTech, MTech, Dual","1. AI/ML Intern - All | 2. Embedded Systems Intern - CS, EC, EI, EE | Eligibility Criteria:* | CGPA >= 6.5 | ⁠No active backlogs. | Selection Procedure:* | Resume Shortlisting | ⁠Online Assessment | ⁠Personal Interviews | Job Location:* Bangalore",,,"* https://forms.gle/StXFj2RjgLBc34DG9 | Deadline:* 11:59 PM, 5th September, 2025 | Strictly No extension of deadline. | ⁠_Curate your CVs according to the Job Role & Job Description._"
Novartis,,,,,,,,,
Pixel Compute,,,,,,,,,
AlgoUniversity,,,"* INR 30,000 / Month | CTC on PPO conversion:* INR 10 - 22 LPA","* 2026, 2025",* All,* All | Registration Form:* https://ng.tinyc.co/auhiring-nitrourkela,,"* Hyderabad, India | Deadline:* 8th September 2025, 11:59 AM | it is mandatory to fill both the forms. | Refer to the JDs for more details.",* https://forms.gle/BvHzomXjmBgMk7YPA
Pixel Compute,,,,,,,,,
JSL,,,,"* 2026,2027","* B. Tech, Dual","* ME, MM, MN, EC, EI, EE, CE, CH, CR, ID | Note:* | 1. All the students irrespective of their sector preference must attend the PPT. | 2. Strict actions will be taken in case of failure to do so. | 3. Everyone must follow the dress code as mentioned in the placement policy.",,,
Pixel Compute,,,,,,,,,
Pixel Compute,,,,,,,,,
Pixel Compute,,,,,,,,,
JSL,,,,,,,,,
JSL,,,,,,,,,
GE Vernova,* Digital Technology Intern,,* 40 KPM | CTC on conversion:*  Base- 12 LPA + Variable Pay - 1.2 LPA + Relocation Bonus + Others,* 2026,"* BTech, Dual, Int MSc","* CS, EC, EI, EE (Minors in the said department) | Eligibility Criteria:* | CGPA >= 7.5 | ⁠No active backlogs. | Selection Procedure:* | Pre-Placement Talk | Resume Shortlisting | ⁠Online Assessment | ⁠Personal Interviews | Job Location:* Bangalore, Hyderabad",,,"* https://forms.gle/EUBj6vEzJPLShHe79 | Deadline:* 11:59 PM, 9th September, 2025 | Note:* | Strictly No extension of deadline. | ⁠_Curate your CVs according to the Job Role & Job Description._"
L&T Finance,,,,,,,,,
ZS,,,,,,,,,
Airamatrix,,,,,,,,,
Pkeday Investments,,,,,,,,,
L&T Finance,,,,,,,,,
Birla Pivot,,* 14 LPA,* 30 KPM,* 2026,"* B. Tech, Dual Degree, Int. M.Sc",* All | Eligibility* | 60% above in 10th and 12th | CGPA >= 6.5 | No active backlogs | Selection Procedure:* | Resume Shortlist | Cognitive & Behavioral Assessment | Coding Assessment | Interview,,,"* https://forms.gle/2FoUGZaUNaGKLhRB9 | Deadline:* 11:59 PM, 11th August 2025 | Note:* | Candidates can choose both the roles in the form. | Stick to the deadline strictly."
Appvin Technologies,,* 8LPA,* 15KPM,* 2026 | Eligibility Criteria:* | 1. 12th and 10th >=70% | 2. Cgpa >=7,"* B.Tech,Dual, IntMsc,M.Tech",* ALL,,"* Noida | Deadline:* 11:59 PM, 14th September 2025 | Bond Period:* 2 Years | Note:*",https://forms.gle/UjmxQeDEN1TkvvSi8
Airamatrix,,,,,,,,,
Reliance Industries Limited (RIL),,1. _On Joining-_ 7.5 LPA _(Fixed Pay)_ | 2. _After 1 Year-_ 8.88 LPA _(8L Fix + 88K Annual Cash Bonus)_ | 3. _After 2 Year-_ 8L Fix + 3L _(One-Time Deferred Bonus)_,,* 2026,"* B. Tech, Dual Degree","* CH, ME, CE, EE, EC, EI, MM, CR, CS | Eligibility Criteria:* | 1. A minimum score of 60% in both 10th and 12th standards, and a CGPA of 6.0 or above in graduation. | 2. The candidate must:  i. Have no active backlogs.  ii. Complete their engineering degree within 4 years, without any detention. | Locations:* Jamnagar, Hazira, Patalganga, Vadodara, Nagothane, Dahej, Bangalore & Navi Mumbai | Registration Link:*  https://forms.gle/RxN6DhtxgeNTS9nQ9 | Deadline:* 12th September 2025, 11:59 PM | Note:*",,,
Pixel Compute,,,,,,,,,
NK Securities Research,,,,,,,,,
Celebal Technologies,,,,,,,,,
Celebal Technologies,,,,,,,,,
L&T Finance,,,,,,,,,
GE Vernova,,,,* 2026,* BTech,"* CS, EC, EI, EE and Minor degree of the said branches | Note: | Everyone should join the meet 15 mins prior to the said timing. | Attendance for the PPT is mandatory for all eligible students.",,,
JSW Group,,,,,,,,,
Accenture,,,,"* 2026, 2027","* B.Tech, Dual Degree, Int. M.Sc, M.Tech","* All | Date:* 17th September 2025 (Wednesday) | Time:* 5:00 PM | Mode:* Online | Deadline:* 11:59 pm, 16th September 2025 | Registration Link:* https://webcast.accenture.com/redirect/goto?event=MEETACCENTUREAEH",,,* https://forms.gle/XgNAk8RDDiG2TXP16 | 1. All the candidates must mandatorily register and attend the session. | 2. Once registered you will receive a confirmation mail regarding the completion of registration. | 3. It is mandatory to fill both the forms.
Mercedes-Benz,,,,,,,,,
GE Vernova,,,,,,,,,
ZS Associates,,,,,,,,,
Mercedes-Benz,,,,,,,,,
JSW Group,,,,,,,,,
L&T Finance,,,,,,,,,
RIL,,,,,,,,,
RIL,,,,,,,,,
Reliance Industries Limited,,,,,,,,,
Aditya Birla Group,,,,"* 2026, 2027",* B.Tech,"* EC, EI, EE, ME, CH, CE, MM, MN, CR | Venue:* TIIR Auditorium | Date:* 15 September 2025 (Tomorrow) | Time:* 14:00 IST (2:00 PM)",,,
Aditya Birla Group,,,,,,,,,
ExxonMobil,,,,,,,,,
RIL,,,,,,,,,
ABG,,,,,,,,,
CENSIE Capital Partners,,* Not Disclosed,* Not Disclosed,* 2026,* All,* All,,,* https://forms.gle/KRvdDsebphwHeGHq6 | Note:*
RELIANCE,,,,,,,,,
Flipkart(NEEV),,,,,,,,,
UKG (Ultimate Kronos Group),,,,,,,,,
Aditya Birla Group (ABG),,,,"* 2026, 2027",* B.Tech,"* All | Competition Structure:* | Participants are required to register in teams of two, teams may be formed across streams and across years of passing. | All registered teams to undergo a written virtual quiz, The highest-scoring team from campus advances to the Zonal Round. | Prizes:* | Winning Team – INR 1,00,000 + certificates | 1st Runners Up Team – INR 75,000 + certificates | 2nd Runners Up Team – INR 50,000 + certificates | Remaining Finalists – ABG Goodies + certificates | Campus Winners going into Zonal Rounds – ABG Goodies + certificates",,,* https://unstop.com/competitions/aditya-birla-group-engenuity-2025-aditya-birla-group-1550282?ref=IWJAOsCB | Registration link:* https://forms.gle/yMfGgU9KVHxM2eaT6 | Deadline:* 17th September 2025 (Today)
Jubilant Pharmova Ltd,,,,,,,,,
Leap,,,,,,,,"* Bengaluru | Deadline :* 11:59 PM, 20th September 2025 | Note:* | Curate your CVs according to the JDs given below as there will be a resume shortlisting round. | Everyone must fill both the application and registration form.",
Birla Pivot,,,,,,,,,"* https://forms.gle/2FoUGZaUNaGKLhRB9 | Updated Deadline:* 3:59 *PM*, 19th September 2025 | Note:* | Those who have already apply, don't reapply. | Stick to the updated deadline. | By Order | Head CDC."
Namekart,,,,* 2026,"* B.Tech, Int. MSc., Dual, B.Arch","AI Engineer, SDE : CS | EDSA : All",,,"* https://docs.google.com/forms/d/e/1FAIpQLSeQIFFfxXUnvuOGXRBT7CRZ5YODoeEVtBhYfx3NCXbCIyL7ag/viewform | Registration Link:* https://forms.gle/MnTFmYkvZikdD6BT8 | Deadline:* 19th September 2025, 11:59 PM | Go through the job description attached and prepare your resume accordingly. | Keep the short deadline in mind. | It is mandatory to fill both the forms."
Accenture,* Advanced Application Engineer (AEH) | CTC :* 11.89 LPA,,,* 2026,"* B.Tech, Dual Degree, M.Tech, Integrated M.Sc, M.Sc","* All | Eligibility:* | No Active Backlogs. | Candidate must have an Indian citizenship. | Candidate must complete the degree within the stipulated duration, without breaks during the course of the program. | Registration Link:* https://indiacampus.accenture.com/v2/registration/accenture/AEH26/apply?event=1054975&job=1159337",,,"* https://forms.gle/EphdUsQX5dgiidjC6 | Deadline:* 2:00 pm, 22nd September 2025 | Note:*"
RIL,,,,,,,,,
Accenture,,,,,,,,,
RIL,,,,,,,,,
Accenture,,,,,,,,,
RIL,,,,,,,,,
RIL,,,,,,,,,
RIL,,,,,,,,,
Accenture,,,,,,,,,
Accenture,,,,,,,,,
UKG,,,,,,,,,
UKG,,,,,,,,,
Accenture,,,,,,,,,
Accenture,,,,,,,,,
RIL,,,,,,,,,
Accenture,,,,,,,,,
Cisco,,,,,,,,,
L&T Limited,,GET:* | Office Based Posting: 6 LPA | Project Site Based Posting: 6.55 LPA | PGET:* | Office Based Posting: 6.25 LPA | Project Site Based Posting: 6.80 LPA,,* 2026,"* B.Tech, M.Tech, B.Arch","*B.Tech:* CE, CS, CH, CR, ME, MM, MN, EE, EI, EC | *M.Tech:* CE, CS, CR, CH, MM, ME, MN, EE, EC | *B.Arch:* AR | Eligibility Criteria:* | 10th & 12th >= 65% | CGPA >= 6.5 | No history of Backlogs | Should be an Indian national, born on or after 01.07.2002 (for UG) and 01.07.1999 (for PG) | Registration Form:* https://campus.lntedutech.com//offline/l#/open/off-campus/landing?college_id=940392f5f32a7ade1cc201767cf83e31&drive_id=82161242827b703e6acf9c726942a1e4",,,"* https://forms.gle/Sfti7AMqvRmAucYi7 | Deadline:* 11:59 PM, 22 September 2025 (Today) | * Access the registration link shared above, create your profile and verify the email ID to receive a confirmation mail. | * Click on the link received on the verified Email ID & Login to the campus portal to set a password. | * Proceed after logging in to complete the application form and submit the same."
Accenture,,,,,,,,,
L&T Limited,,,,,,,,,
Cisco,,,,,,,,,
JSW Group,,,,,,,,,
Accenture,,,,,,,,,
L&T Limited,,,,,,,,,
Accenture,,,,,,,,,
Accenture,,,,,,,,,
Zanskar Tech Pvt. Ltd,,,,,,,,,
L&T Limited,,,,,,,,,
UKG,,,,,,,,,
HP Power Lab 2.0,,,,"* 2026, 2027",* All,"* All | Competition Structure:* | The participants can either register as individuals or compete in teams of 1-4. One person cannot be a part of more than one team. | Cross-college, Cross-year and cross-specialization teams are allowed. | Stages:* | Round 1: Online Assessment | Round 2: Video Submission | Round 3: Detailed Presentation Submission | Round 4: Physical/Virtual Semi-Finale | Round 5: Grand Conclave | Prizes:* | Top 50 participants - Chance of _*Exclusive Summer Internship*_ opportunities at HPCL. | Winning Team – cash prize of up to ₹1,50,000 | 1st Runners Up Team – cash prize of up to ₹1,00,000 | 2nd Runners Up Team – cash prize of up to ₹75,000 | 3rd Runners Up Team – cash prize of up to ₹50,000 | 4th Runners Up Team – cash prize of up to ₹50,000 | 6th - 10th Position Holders – cash prize of up to ₹30,000 each",,,"* https://unstop.com/competitions/hp-power-lab-20-hindustan-petroleum-corporation-ltd-1559081?lb=3u2T1ie&utm_medium=Share&utm_source=ashish_1143&utm_campaign=Competitions | Registration link:* https://forms.gle/jzZiAm2DUxbhJHTZ8 | Deadline:* 23:59 PM, 30th September 2025"
Accenture,,,,,,,,,
Accenture,,,,,,,,,
SiMa.ai,,,,,,,,,
PwC India,,* 9.05 LPA,,* 2026,"* B.Tech, Dual","B.Tech- CS,EC,EI,EE,ME,ID,MM | Dual- MM | Eligibility:* | 1. CGPA >= 6 | 2. 60% and above in 12th and 10th | 3. No active backlogs | 4. Gap year should not be more than 12 months. | Selection Process:* | 1. Resume Shortlist | 2. Online Test | 3. Personal Interview | Registration Link:* https://app.joinsuperset.com/join/#/signup/student?jp=c88a52cc-8993-4b3a-9d1b-6a1c661cb6de",,,"https://forms.gle/6s4H3rk34c78JLBs8 | Deadline:* 11:00AM 26th September,2025 | Note:*"
Ola Electric,* Research Intern | 1. Electrode & Materials | 2. Cell Design | 3. AI Powered Battery Analytics | 4. Electrolyte Cell | 5. Vehicle Engineering,,* 65 KPM + 5K Travel Allowance | CTC on conversion:* ND,* 2026,"* MTech, Dual, Int. MSc","* All | Eligibility Criteria:* | CGPA >= 6 | ⁠No active backlogs. | Selection Procedure:* | Resume Shortlisting | ⁠Online Assessment | ⁠Personal Interviews | Job Location:* Bangalore, Krishnagiri",,,"* https://forms.gle/ySA64HkUFExXcUZt6 | Deadline:* 23:59 , 25th September, 2025 | Note: | Keep the short deadline in mind. | Follow the JD for detailed eligibility criteria. | ⁠_Curate your CVs according to the Job Role & Job Description._"
PwC India,,,,,,,,,
Signify Innovations(Formerly Phillips Lighting),,* 11.35LPA+1L Joining Bonus,* 32KPM,* 2026,"* B.Tech,Dual","* ME,CH,CR,MM,EE,ID,FP",,"* Gurgaon (Tentative) | Hiring Process:* | 1. Resume Shortlisting | 2. Group Discussion | 3. Personal Interview | Deadline:* 11:59 PM, 29th September 2025 | Note:*",https://forms.gle/kQBtgrEd7FqdyKfX7
Accenture,,,,,,,,,
PwC India,,,,,,,,,
PwC India,,,,,,,,,
SenseHQ,,,* 25 KPM | CTC on Conversion:* 11 LPA,* 2026,"* B. Tech, M. Tech, Dual Degree, Int Msc",* All,,* Bengaluru | Registration link:* https://forms.gle/D226c4PUGZFf9JLw5 | Note:*,
Mercedes-Benz India,,,,* 2026,"* B.Tech, Dual","* CS, EC, EI, EE, ME, CH, MM, CR, ID | Date:* 26th September 2025 | Time:* 4:40 PM | Link:* | https://teams.microsoft.com/l/meetup-join/19%3ameeting_M2M3NzYzNmItMGMzNi00MTI4LTgzMjctMTViYWI5OWQzNTJl%40thread.v2/0?context=%7b%22Tid%22%3a%229652d7c2-1ccf-4940-8151-4a92bd474ed0%22%2c%22Oid%22%3a%22b7333a19-a64b-4696-8ae5-ce391a44e27c%22%7d | Meeting ID:* 353 562 037 696 1 | Password:* FN2YK3Ly | Ensure stable internet connectivity. | Join the session at least 5 minutes before the scheduled time. | Keep microphones muted unless asked to speak. | Maintain professional etiquette throughout the session.",,,
Accenture,,,,,,,,,
GE Vernova,,,,,,,,,
UKG,,,,,,,,,
Ola Electric,,,,,,,,,"* https://forms.gle/ySA64HkUFExXcUZt6 | Deadline:* 23:59, 26th Sept 2026 (Today) | Only those candidates who had applied earlier are required to provide the additional information."
Mercedes-Benz,,,,,,,,,
Meetmux by Altrodav Technologies,,* 20 LPA ( 14LPA Base),* 1 LPM,* 2026,"* B.Tech, M.Tech, Int Msc, Dual",* All,,,"* https://forms.gle/2Vvew4B6gUEdYhgK9 | Deadline:* 11:59PM, 28th September"
PwC India,,,,,,,,,
Jindal Stainless Limited,* GET,* 9.5 LPA,,* 2026,* B.Tech,"* EE, ME, MM | Eligibility Criteria:* | Minimum 65% in Class 10, Class 12, and Graduation. | No more than 1 gap year permitted. | No active or uncleared backlogs allowed",,,"* https://forms.gle/CqaxEpys3KTJ63v68 | Registration Link:* https://unstop.com/o/GhSF75C?utm_medium=Share&utm_source=rajatyad2200&utm_campaign=Jobs | Deadline:* 11:59 PM, 27th September, 2025 | Note:*"
ZS Associates,,,,,,,,,
ZS Associates,,,,,,,,,
Mercedes-Benz,,,,,,,,,
DCM Shriram Ltd,* GET,* 7.5LPA,,* 2026,* B.Tech,"* EI, EE, ME, CH, MM | Eligibility:* | 1. CGPA >= 7.0 | 2. ⁠No active backlog | Selection Procedure:* | Pre-Placement Talk | Resume Shortlisting | Online Test | Group Discussion | Personal Interview",,,"* https://forms.gle/JL7hEZw8X91H9ch69 | Deadline:* 11:59PM, 29th September 2025 | ⁠Keep the short deadline in mind."
Confluent,* Software Engineering Intern,* 50.5 LPA,* 1.1 LPM,* 2026,* Btech,* All | Eligibility Criteria:* | 1. CGPA>= 6.5 | 2. No Active Backlogs.,,,"* https://forms.gle/ekgcLeBNWswQfXnx8 | Deadline:* 11.59 PM, 28th September. | Note:* | 1. Apart from DSA, apply only if you are proficient in the following areas: OS (concurrency, multithreading, semaphores, mutex,logs), OOPS, DBMS. | 2. Keep the deadline in mind."
Jindal Stainless Limited,,,,,,,,,
Confluent,,,,,,,,,
Signify,,,,,,,,,
SenseHQ,,,,,,,,,
Leap,,,,,,,,,
UKG,,,,,,,,,
Calderys,,* 6.5LPA - 7LPA,,* 2026 | Eligibility Criteria:* | 1. CG >=7.0,"* B.Tech,Dual","* ME,MM,CR",,,"* https://forms.gle/FSVaHi8vam76tMmDA | Deadline:* 11:59 PM, 1st October 2025 | Note:*"
EXL Service,* Business Analyst (Band-A2),* 9.25 LPA,,* 2026,* BTech,* All | Eligibility Criteria:* | CGPA >= 6.5 | ⁠No Active Backlogs | Selection Process:* | Online Aptitude Test | Resume based shortlisting | 2-3 Interview rounds,,,"* https://forms.gle/HY5nwt15iZHEs6zS8 | Deadline :* 3:00 PM, 30th September, 2025(Tomorrow) | Note :*"
Nasdaq,1. Software Development Intern | 2. QA Testing Intern | 3. Finance Intern | 4. Data Science Intern | 5. Data Engineer Intern | 6. Data Analyst Intern | 7. Product/Project Management Intern,* 9.5 LPA + benefits,* 50 KPM,* 2026,"* Btech, Mtech, Dual, Int MSc",* All,,,"* https://forms.gle/eKBCuzSwRPtcu2SD7 | Deadline:* 11:59 AM, 30th September"
Calderys,,,,,,,,,https://forms.gle/FSVaHi8vam76tMmDA
Nasdaq,,,,,,,,,
UKG,,,,,,,,,
DCM Shriram,,,,,,,,,
Nasdaq,,,,,,,,,
UKG,,,,,,,,,
Confluent,,,,,,,,,
Calderys,,,,,,,,,
Blogvault,,,* 30 KPM | CTC on Conversion:* | 1. Associate Software Engineer : 8-10 LPA | 2. Software Engineer : 10-12 LPA,* 2026,* Btech,* All | Eligibility:* | 1.CGPA > 6 | 2.No Active backlogs | Selection Process:* | 1.OT | 2.Technical interview | 3.HR interview,,* Bengaluru,"* https://forms.gle/GRTTSSEqH8gf6Som8 | Deadline:* 11:59 PM, 3rd Oct"
JSL,,,,,,,,,
Reliance,,,,,,,,,
Dassault Systèmes,* Software Engineer,"B.Tech- 10 LPA | M.Tech, Dual, Int MSc- 11 LPA","B.Tech- 30KPM | M.Tech, Dual, Int MSc- 35KPM",* 2026,"B.Tech, M.Tech, Dual, Int MSc",* All | Eligibility:* | 1. CGPA >= 6 | 2. ⁠60% and above in 10th and 12th | 3. ⁠No active backlog,,,"* https://forms.gle/sTw27LsjvcY2yAwW6 | Deadline:* 23:59 5th October, 2025 | Note:* | Keep short deadline in mind. | Service Contract/Bond: 1L for 18 Months."
Dassault Systèmes,,,,,"* BTech, M.Tech, Dual, Int MSc",* All | Note:*,,,
EXL,,,,,,,,,
Dassault Systèmes,,,,,,,,,
L&T Limited,,,,,,,,,
Varuna Marine Services,,,* 35KPM | CTC*: 9LPA,* 2026,"* B.Tech, M.Tech, Dual, Int. MSc","* All | Eligibility*: CGPA >= 7.00 | Mode*: Remote | Apply Link:*  https://forms.gle/bqnAfHFLZWniD7mT7 | Deadline*:  11:59 PM, 7th Oct 2025 | Note*: | Keep in mind the short deadline. | ⁠Go through the JD and curate your resume before apply.",,,
L&T Limited,,,,,,,,,
Dassault Systemes,,,,,,,,,
Confluent,,,,,,,,,
Aditya Birla Group (ABG),,,,,,,,,
Quantiphi Analytics,,* 8.5 LPA (6.5 LPA - Fixed+ 2 Lakhs QCDP),* 24 KPM,* 2026,"* B.Tech, Dual Degree, M.Tech, Int Msc","* All, MA(for Int Msc)",,* Mumbai/Bangalore | Eligibility Criteria:* | 10th & 12th >= 70% | CGPA = 7.00 or above | No active backlogs,"* https://forms.gle/vru9bctUiHwRSiT57 | Registration Link:* https://unstop.com/p/quantiphi-campus-hiring-2026-nit-rourkela-quantiphi-1559639 | Deadline:* 11:59 PM, 8th October 2025 | 1. All students must register on the NAPS portal, complete the KYC process and submit their bank details on the portal. | 2. Sharing the NAPS Candidate ID during registration on Unstop is mandatory. | 3. ⁠Providing incorrect IDs or failing to create a valid NAPS ID will result in the disqualification of their candidature. | 4. *⁠Portal Link:* https://www.apprenticeshipindia.gov.in/candidate-login"
Leap,,,,,,,,,
Quantiphi,,,,,,,,,
Dassault Systèmes,,,"B.Tech- 40KPM | M.Tech,Dual,Int MSc- 45KPM",,,,,,
OLA Electric,,,,,,,,,
ZS Associates,,,,,,,,,
TMRW House Of Brands _(an Aditya Birla Group Venture)_,,,* 35 KPM | CTC on Conversion:* 9-13 LPA _(Incl. Variable Pay)_,* 2026,"* B. Tech, Dual Degree, Int MSc",* All,,* Bangalore | Registration link:* https://forms.gle/dqJoZAsVxEaUCZjf8 | Note:*,
L&T Finance,,,,,,,,,
Quantiphi,,,,,,,,,
Leap,,,,,,,,,
